Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Duke 1,ACC,"121.8
1","89.1
6","50.5
91","43.7
7","16.5
16","21.3
99","40.7
6","32.3
158","37.9
158","34.1
98","75.9
8","68.7
161","46.9
202","44.1
37","38.5
25","28.3
2"
Kansas 1,B12,"121.0
2","91.0
11","55.1
10","43.2
4","18.7
91","20.0
190","38.4
23","31.7
122","41.3
85","31.4
48","69.9
138","68.6
158","52.7
19","40.1
1","40.4
7","33.1
112"
California 8,P10,"120.4
3","97.8
80","53.3
29","48.3
139","17.7
43","18.7
261","34.7
95","31.1
103","35.4
233","33.3
86","75.7
10","69.4
194","52.0
28","48.8
213","37.4
47","31.6
53"
Baylor 3,B12,"120.4
4","95.3
48","54.4
15","44.5
20","20.3
171","17.8
301","38.2
27","33.2
198","36.1
213","34.2
100","72.9
46","67.9
111","53.0
17","41.3
7","38.1
32","33.7
145"
Notre Dame 6,BE,"120.3
5","100.4
125","53.7
21","49.3
177","16.0
9","15.9
341","34.7
94","30.5
78","38.1
149","27.8
14","72.3
65","74.2
345","51.3
49","47.8
174","38.8
20","34.9
212"
Syracuse 1,BE,"118.5
6","91.4
14","57.6
2","45.9
49","21.4
234","22.0
70","37.1
37","34.3
250","36.9
187","25.6
6","67.7
216","63.7
10","57.1
1","46.2
108","39.1
16","30.2
20"
Maryland 4,ACC,"118.3
7","96.7
66","51.8
51","45.0
29","16.3
15","21.3
98","35.3
78","36.8
311","33.9
269","29.6
24","73.0
43","69.8
218","49.9
88","42.2
10","38.6
22","34.0
162"
Cornell 12,Ivy,"118.0
8","101.9
157","56.5
3","48.1
134","18.6
85","20.7
142","32.1
194","29.9
62","29.1
327","38.5
197","73.4
33","71.5
299","51.1
53","46.6
124","43.2
1","34.3
181"
Ohio St. 2,B10,"118.0
9","92.8
23","56.1
4","47.1
87","17.5
36","21.8
75","29.5
278","29.4
50","35.8
219","26.4
8","69.7
145","71.0
279","54.8
3","45.1
62","39.0
17","33.7
144"
BYU 7,MWC,"117.7
10","94.6
39","54.9
11","46.6
68","15.9
6","22.0
67","30.8
228","28.1
23","38.9
127","36.4
147","79.0
1","68.6
153","51.3
48","44.6
48","41.4
3","33.8
150"
Villanova 2,BE,"117.5
11","96.6
65","52.2
45","47.4
100","18.9
96","21.1
118","37.7
31","32.0
139","43.9
50","49.1
329","75.5
13","71.0
274","50.3
76","45.5
78","37.3
49","33.6
140"
West Virginia 2,BE,"117.3
12","92.8
25","48.9
161","46.9
84","18.3
64","20.6
151","42.0
2","32.1
144","39.6
116","39.1
207","70.4
125","67.9
112","48.0
158","46.1
106","33.7
191","32.4
81"
Providence,BE,"117.0
13","107.0
259","49.3
142","52.0
309","17.1
27","18.2
279","41.5
3","37.3
321","33.9
273","38.2
188","67.1
229","69.2
191","49.2
111","52.2
327","33.0
222","34.3
185"
Kansas St. 2,B12,"116.9
14","92.0
18","50.6
88","46.8
77","19.9
146","23.5
21","40.6
7","34.0
233","50.3
4","47.3
312","66.9
234","70.3
248","49.0
120","45.2
71","36.1
79","33.7
146"
Georgetown 3,BE,"116.8
15","95.9
56","55.7
5","47.4
99","20.9
200","19.7
215","33.1
159","32.2
153","37.0
185","33.4
87","71.1
103","71.8
311","54.7
4","46.0
98","38.7
21","33.4
127"
Xavier 6,A10,"116.6
16","95.8
55","52.2
44","45.6
43","18.0
55","17.8
297","35.2
84","29.9
61","41.9
75","32.9
78","71.1
104","65.4
28","50.1
79","46.0
100","37.7
39","29.8
10"
Utah St. 12,WAC,"116.3
17","96.1
59","55.1
9","46.1
54","16.3
12","17.6
308","33.4
149","27.0
7","29.6
324","29.7
27","75.6
12","71.1
283","52.0
29","44.7
50","41.6
2","32.5
84"
Wisconsin 4,B10,"116.1
18","92.1
19","51.4
66","46.8
76","14.5
2","19.9
198","30.2
253","26.4
3","32.5
295","36.0
139","73.2
38","68.9
170","50.0
83","45.1
64","35.7
100","34.3
183"
Saint Mary's 10,WCC,"115.9
19","98.6
92","55.3
7","46.1
53","17.1
24","16.0
340","34.3
112","31.1
104","32.7
294","30.2
38","76.1
6","65.9
43","52.2
25","46.3
113","40.6
6","30.2
19"
Kentucky 1,SEC,"115.5
20","89.1
5","53.0
32","43.1
3","20.3
167","19.7
213","40.9
4","31.8
127","43.6
53","29.7
25","66.8
241","68.8
169","54.5
6","41.1
5","33.1
219","31.3
48"
Memphis,CUSA,"115.5
21","100.1
117","53.6
23","46.5
63","17.1
26","22.4
53","32.1
196","36.3
302","44.4
42","41.2
243","69.4
157","70.1
238","50.6
70","45.4
76","38.8
19","32.9
103"
Marquette 6,BE,"115.4
22","95.5
50","52.8
34","49.7
200","15.9
8","22.0
68","31.2
218","33.0
193","34.9
245","29.4
21","74.1
28","68.1
128","47.9
161","50.0
261","41.3
4","32.5
85"
New Mexico 3,MWC,"114.8
23","98.5
88","50.6
89","49.5
191","16.2
10","19.9
199","35.4
74","27.2
10","44.9
34","35.0
121","66.9
238","67.0
76","47.8
169","49.1
230","36.9
60","33.3
120"
Louisville 9,BE,"114.8
24","98.6
90","51.4
63","48.5
149","20.0
154","22.3
58","39.8
10","36.9
313","35.7
220","41.0
239","70.1
131","70.2
244","51.9
33","46.7
127","33.7
190","34.7
203"
Minnesota 11,B10,"114.5
25","94.7
41","53.1
31","46.5
64","19.0
98","21.3
102","33.4
150","32.5
167","33.9
271","32.8
76","70.0
134","68.0
122","50.0
82","43.6
25","39.9
9","34.1
169"
Oklahoma St. 7,B12,"114.4
26","95.1
46","52.4
42","48.1
135","18.4
69","19.4
228","29.1
287","27.9
22","36.5
202","37.2
171","71.4
94","69.8
220","52.5
21","45.0
60","34.9
133","36.1
266"
Vanderbilt 4,SEC,"114.1
27","96.5
63","52.6
39","47.0
86","19.3
121","19.2
239","32.6
177","35.1
278","48.3
10","34.5
105","72.3
64","63.2
5","51.5
43","45.2
69","36.9
61","33.9
156"
