Year,Round,SeedDiff,OffEff,DefEff,OffFgp,DefFgp,OffTop,DefTop,OffRp,DefRp,OffFtr,DefFtr,OffFtp,DefFtp,Off2pp,Def2pp,Off3pp,Def3pp,ScoreDiff
2022,6,-7,5.4,-2.2,2.3,-2.8,0.9,4.5,1,7,2,6.3,-4.7,-0.6,3.5,-1.1,0.3,-3.9,3
2022,5,6,-8.3,-2.5,-4.1,1.5,1.4,-2.1,0.2,-7.3,1.7,2.3,2.6,3.4,-5.9,0.9,-0.8,1.7,4
2022,5,-1,2.6,-1.7,2.3,-1.5,1.8,-0.3,1.7,-0.3,2.5,2.7,-11.3,-1.5,4.1,-1.7,0.2,-1,16
2022,4,-9,6.2,-6.6,0.4,-6.7,3.3,-2.3,10.5,-1.7,3.4,2.9,-2.5,4,-1.2,-6.6,2.2,-4.7,26
2022,4,-3,0.7,4.5,-1.6,4,-1.4,-3.3,-6.5,0.9,0.8,-9.7,16.3,1.7,-5,4.7,2.1,2,6
2022,4,-7,15,0.4,4,4.4,-3.7,-6.9,1,-7.4,-7.1,-19.8,6.1,-0.2,4.5,3,1.2,4.5,20
2022,4,-2,14,5.3,7,-0.4,-1.9,-4.8,2.1,3.6,-8.6,-12.8,-2.2,-4,5.9,-0.2,6.2,-0.4,9
2022,3,3,-11.6,0.8,-10.1,4.4,1.2,4.2,0.5,1.9,6.6,9.2,4.5,3.2,-10.3,5,-6.6,1.9,6
2022,3,-1,12.2,10.6,3,1.3,-4.8,-7.5,-1.5,3.1,-6.5,-12.8,4,0.1,1.1,2.1,4.5,0.5,5
2022,3,4,-1.4,1.3,0.9,1,3.2,-5.8,0.6,-3.7,0.8,-6.9,2.3,-0.1,0.6,0.2,0.4,1.6,7
2022,3,12,-22.2,-4.4,-9,-4.9,2.6,6.5,-4.3,5.2,-0.8,19.6,-0.8,0.6,-10.2,-4.1,-3.8,-4,3
2022,3,4,-1.5,-5.2,-2.5,-1.1,-1.4,4.3,3,-0.6,-5.9,10.7,-7.2,4.3,-2.5,1.6,-1.5,-4,12
2022,3,-9,3.3,-3.2,-0.6,-2.4,-1.8,3.7,0.2,4.9,0.4,-0.6,8.4,0,-3.2,-2.3,2,-1.6,8
2022,3,-3,8.4,-4.2,3.8,-0.5,0.3,2.5,2.6,1.2,-4.7,0.7,-1.1,2.3,4.6,-0.7,1.7,-0.2,5
2022,3,-1,11.9,9.5,4.3,4.6,-6.4,-4.2,-6,2,1.8,-11.9,5.9,-3.9,4.7,2.2,2.4,5.6,14
2022,2,-8,15,-0.8,3.2,0.9,-3.1,2.6,4.5,0.1,5.6,6.9,-2.1,-0.9,0.3,2.8,5.3,-1.9,7
2022,2,-8,4.5,-3.6,-1.1,-4.2,2.7,-3.2,7.9,-0.1,6,3.6,1,-2.9,-3.3,-2.8,1.4,-4.3,28
2022,2,8,-7,-5,1.4,-1.1,7.4,7.6,2.5,3.9,-5.3,9.5,-6,3.5,1.4,1.8,0.8,-3.6,5
2022,2,8,1.9,7.9,3.5,8.4,-2.7,0.4,-11.3,1.4,-2.7,-9.4,1.1,-5.4,3.5,10.2,2.1,3.5,18
2022,2,-8,9.4,1.6,6.9,-3,-3.1,-1.2,-3,2.5,3.5,-2.9,6.5,-3.5,6.7,-6.2,5.1,1.9,5
2022,2,1,4.6,-4.5,0.6,-2.7,-1.2,6.2,4.6,1.4,-3,6.5,-3.9,0.2,3.1,-1.8,-2.1,-3.1,15
2022,2,8,2.6,9.1,1.4,3.3,-0.4,-8.2,-1.4,-3.2,0.4,-5.9,3.1,2.3,4.2,4.4,-2,1.1,8
2022,2,-5,1.7,-5.5,-2.8,-0.3,-1.6,2.9,1.9,0.2,-3.6,-4.1,7.3,0.3,-4.5,2.3,-0.6,-3,10
2022,2,7,-3.4,2.2,-1.3,0.8,-1.5,-9.3,-4.4,-7.2,1.3,-6.3,6.7,2.2,-3.5,-1.7,1.5,3.5,7
2022,2,-1,6,1.7,-2.1,-0.7,-3.8,0.2,3.9,3.6,6.2,3.2,-2.2,0.1,-3,0.3,-0.1,-2.2,16
2022,2,-3,9.1,6,6.4,2.1,-0.3,-9,3.6,-6,6.2,-17.4,-3.5,4,5.3,2,5.4,1.4,10
2022,2,8,-10.6,-3.1,-5.1,-3.9,3,0.1,-4.4,3.3,5,15.2,0.9,4.8,-7.6,-6,0.1,-0.5,10
2022,2,-8,7.9,-2.7,6.4,-3.5,-6.8,-4.1,-8.3,-7.5,-7.2,-10.5,2.1,0.5,8.5,-3.7,1.5,-1.5,4
2022,2,-8,2.7,-5.3,-3.3,2.3,-3.9,3.7,-3,-0.4,2.6,3.6,6,-2.2,-3.1,1.2,-3,2.6,5
2022,2,-8,-2.3,-11.3,-1.4,-3.2,4.2,8.1,11.1,1.1,7.8,9.7,-5.6,-0.4,3,-5.1,-5.8,-0.5,6
2022,2,-5,11.1,-0.6,3.6,-1,-3.8,0.4,1,1.8,-1.3,-9.2,-1.2,-1.7,6.4,-1.9,-1.2,0.4,9
2022,1,-15,18.4,-8.5,14,-6.9,-0.9,-5.8,-3.4,-7.6,0.2,-10.5,-0.5,0.9,17.9,-4.4,4.6,-7,21
2022,1,1,4.8,-0.3,1.6,-1.7,4.1,0.2,6.8,8.5,2.6,7.3,4.3,-2.9,1.3,-2.5,1.5,-0.6,11
2022,1,7,-7.2,0.1,2.3,-0.8,3.5,-1.2,-5.3,-1.9,4.1,-3.4,-5.3,6.6,5.2,3,-1.8,-5.5,7
