Year,Round,Seed1,Team1,Score1,Seed2,Team2,Score2,ScoreDiff
2023,1,16,Texas A&M Corpus Chris,,1,Alabama,,
2023,1,9,West Virginia,,8,Maryland,,
2023,1,12,College of Charleston,,5,San Diego St.,,
2023,1,13,Furman,,4,Virginia,,
2023,1,11,North Carolina St.,,6,Creighton,,
2023,1,14,UC Santa Barbara,,3,Baylor,,
2023,1,10,Utah St.,,7,Missouri,,
2023,1,15,Princeton,,2,Arizona,,
2023,1,16,Texas Southern,,1,Purdue,,
2023,1,9,Florida Atlantic,,8,Memphis,,
2023,1,12,Oral Roberts,,5,Duke,,
2023,1,13,Louisiana Lafayette,,4,Tennessee,,
2023,1,11,Providence,,6,Kentucky,,
2023,1,14,Montana St.,,3,Kansas St.,,
2023,1,10,USC,,7,Michigan St.,,
2023,1,15,Vermont,,2,Marquette,,
2023,1,16,Northern Kentucky,,1,Houston,,
2023,1,9,Auburn,,8,Iowa,,
2023,1,12,Drake,,5,Miami FL,,
2023,1,13,Kent St.,,4,Indiana,,
2023,1,11,Mississippi St.,,6,Iowa St.,,
2023,1,14,Kennesaw St.,,3,Xavier,,
2023,1,10,Penn St.,,7,Texas A&M,,
2023,1,15,Colgate,,2,Texas,,
2023,1,16,Howard,,1,Kansas,,
2023,1,9,Illinois,,8,Arkansas,,
2023,1,12,VCU,,5,St. Mary's,,
2023,1,13,Iona,,4,Connecticut,,
2023,1,11,Arizona St.,,6,TCU,,
2023,1,14,Grand Canyon,,3,Gonzaga,,
2023,1,10,Boise St.,,7,Northwestern,,
2023,1,15,UNC Asheville,,2,UCLA,,
