Year,Round,Seed1,Team1,Score1,Seed2,Team2,Score2,ScoreDiff
2023,2,1,Alabama,,8,Maryland,,
2023,2,5,San Diego St.,,4,Virginia,,
2023,2,6,Creighton,,3,Baylor,,
2023,2,10,Utah St.,,2,Arizona,,
2023,2,1,Purdue,,8,Memphis,,
2023,2,5,Duke,,4,Tennessee,,
2023,2,6,Kentucky,,3,Kansas St.,,
2023,2,7,Michigan St.,,2,Marquette,,
2023,2,1,Houston,,8,Iowa,,
2023,2,5,Miami FL,,4,Indiana,,
2023,2,6,Iowa St.,,3,Xavier,,
2023,2,7,Texas A&M,,2,Texas,,
2023,2,1,Kansas,,8,Arkansas,,
2023,2,5,St. Mary's,,4,Connecticut,,
2023,2,6,TCU,,3,Gonzaga,,
2023,2,7,Northwestern,,2,UCLA,,
