Year,Round,Seed1,Team1,Score1,Seed2,Team2,Score2,ScoreDiff
2022,1,1,Alabama,,16,Texas A&M Corpus Chris,,
2022,1,8,Maryland,,9,West Virginia,,
2022,1,5,San Diego St.,,12,College of Charleston,,
2022,1,4,Virginia,,13,Furman,,
2022,1,6,Creighton,,11,North Carolina St.,,
2022,1,3,Baylor,,14,UC Santa Barbara,,
2022,1,7,Missouri,,10,Utah St.,,
2022,1,2,Arizona,,15,Princeton,,
2022,1,1,Purdue,,16,Texas Southern,,
2022,1,8,Memphis,,9,Florida Atlantic,,
2022,1,5,Duke,,12,Oral Roberts,,
2022,1,4,Tennessee,,13,Louisiana Lafayette,,
2022,1,6,Kentucky,,11,Providence,,
2022,1,3,Kansas St.,,14,Montana St.,,
2022,1,7,Michigan St.,,10,USC,,
2022,1,2,Marquette,,15,Vermont,,
2022,1,1,Houston,,16,Northern Kentucky,,
2022,1,8,Iowa,,9,Auburn,,
2022,1,5,Miami FL,,12,Drake,,
2022,1,4,Indiana,,13,Kent St.,,
2022,1,6,Iowa St.,,11,Mississippi St.,,
2022,1,3,Xavier,,14,Kennesaw St.,,
2022,1,7,Texas A&M,,10,Penn St.,,
2022,1,2,Texas,,15,Colgate,,
2022,1,1,Kansas,,16,Howard,,
2022,1,8,Arkansas,,9,Illinois,,
2022,1,5,St. Mary's,,12,VCU,,
2022,1,4,Connecticut,,13,Iona,,
2022,1,6,TCU,,11,Arizona St.,,
2022,1,3,Gonzaga,,14,Grand Canyon,,
2022,1,7,Northwestern,,10,Boise St.,,
2022,1,2,UCLA,,15,UNC Asheville,,
