Year,Team,OFF EFF,DEF EFF,OFF FGP,DEF FGP,OFF TOP,DEF TOP,OFF RP,DEF RP,OFF FTR,DEF FTR,OFF FTP,DEF FTP,OFF 2PP,DEF 2PP,OFF 3PP,DEF 3PP
2011,Ohio St. ,126.0,91.8,56.3,48.3,15.8,23.2,35.7,28.4,37.1,20.6,70.1,73.7,52.9,46.9,42.3,34.0
2011,Notre Dame ,123.1,98.1,53.5,46.7,16.4,15.8,33.4,29.5,45.1,25.6,72.4,71.0,50.7,43.6,38.6,35.3
2011,Wisconsin ,123.1,97.8,51.8,48.2,13.1,16.8,33.8,27.1,29.5,32.9,81.8,74.4,48.9,45.2,37.4,37.0
2011,Kansas ,120.9,91.0,57.0,44.5,19.1,20.1,36.7,27.9,39.3,31.9,67.9,73.0,56.8,44.5,38.2,29.8
2011,Duke ,120.6,91.5,53.7,44.5,17.2,21.0,35.1,33.2,37.4,29.6,75.3,65.0,52.5,43.1,37.4,32.4
2011,Pittsburgh ,119.8,94.1,52.9,45.1,18.4,17.5,42.9,28.6,43.1,32.3,67.1,67.6,50.5,43.2,39.5,32.6
2011,Kentucky ,119.3,93.4,52.3,44.2,16.1,18.2,34.3,30.7,36.1,30.1,71.0,72.3,48.8,42.4,39.7,32.4
2011,Arizona ,118.7,98.0,54.1,48.6,18.8,18.5,34.0,29.2,43.6,36.6,74.6,67.8,51.0,50.4,39.7,29.3
2011,Washington ,118.4,97.1,53.7,46.4,16.8,20.4,37.7,31.9,31.5,44.0,67.4,68.0,52.5,45.3,37.1,32.8
2011,Oakland ,117.9,105.1,55.8,49.5,18.6,16.5,36.4,32.0,39.1,31.1,71.8,72.6,55.9,47.5,37.2,36.2
2011,Saint Mary's,117.8,102.1,55.7,49.1,16.6,19.6,33.0,28.9,33.4,37.1,76.1,69.6,53.6,46.9,39.4,37.0
2011,Colorado,117.5,104.3,52.5,50.6,16.8,19.2,34.6,32.6,39.3,35.7,77.9,70.3,51.0,48.7,37.6,36.5
2011,BYU ,117.2,95.2,51.6,46.7,15.2,20.2,30.8,28.5,38.1,33.6,76.2,68.8,50.2,45.2,35.9,33.3
2011,Vanderbilt ,117.0,99.3,52.9,46.0,19.0,17.5,32.9,32.1,45.2,28.0,74.3,69.7,51.1,45.6,37.1,31.3
2011,Boston College,116.9,104.3,54.5,50.8,17.2,16.2,30.4,33.2,31.5,25.9,72.4,70.9,52.4,49.6,38.2,35.3
2011,Northwestern,116.8,101.7,53.4,52.5,15.3,19.6,27.5,30.6,30.0,37.1,73.0,70.0,51.4,52.8,37.2,34.6
2011,Florida ,116.4,95.4,52.1,47.2,18.7,19.1,37.2,30.0,35.7,27.8,66.9,67.2,51.7,47.5,35.2,31.1
2011,Connecticut ,115.8,93.6,48.2,44.5,17.1,17.4,38.7,34.1,33.8,26.8,76.3,68.0,47.7,42.4,32.9,32.7
2011,South Dakota St.,115.6,109.1,53.8,53.2,14.3,19.3,32.9,31.5,34.9,33.9,73.1,70.5,49.5,50.5,40.9,40.2
2011,West Virginia ,115.5,95.2,48.5,45.9,18.8,18.6,40.2,35.5,40.9,36.0,71.1,69.6,47.5,47.0,33.7,29.1
2011,Texas ,115.5,90.0,50.2,42.5,17.3,18.8,38.2,30.6,43.1,30.7,65.4,68.5,48.1,41.9,37.6,29.5
2011,Purdue ,115.2,92.0,50.7,46.0,15.7,21.2,32.4,29.7,34.4,30.4,71.5,69.7,48.8,44.9,36.4,32.6
2011,Marquette ,115.2,97.8,51.0,49.9,18.0,20.5,36.1,33.2,44.3,28.9,69.6,66.0,50.5,48.0,34.9,35.8
2011,Syracuse ,115.0,93.2,53.2,45.2,18.8,20.7,36.6,33.5,35.9,29.7,66.6,66.9,52.9,44.4,35.8,31.1
2011,Illinois ,114.9,92.5,52.9,45.7,19.2,18.3,31.7,31.5,28.2,32.7,72.9,72.3,50.5,45.7,38.7,30.5
2011,Villanova ,114.8,97.8,49.5,46.3,18.0,18.2,35.8,30.2,42.3,36.5,75.7,70.8,48.2,45.3,34.8,32.0
2011,College of Charleston,114.3,102.4,54.8,48.5,17.9,19.3,32.8,35.4,27.4,27.1,74.1,67.2,54.6,47.5,36.6,34.0
2011,Wichita St.,113.8,96.2,53.0,45.7,19.1,18.7,35.3,24.9,35.3,36.2,74.6,70.2,53.0,43.9,35.3,33.3
2011,San Diego St. ,113.7,90.9,50.5,44.1,16.9,19.4,37.5,29.8,31.1,28.0,69.9,71.6,50.2,42.7,34.2,31.6
2011,Missouri ,113.7,98.3,51.5,49.3,17.0,24.6,33.4,36.9,34.3,40.7,73.5,69.3,50.2,48.4,36.2,34.3
2011,Miami FL,113.7,100.0,51.8,47.8,20.9,18.0,35.7,31.3,38.9,37.8,72.5,69.0,48.9,45.0,37.7,35.4
2011,Iona,113.7,102.2,54.4,49.8,17.9,20.8,33.2,29.0,36.5,34.2,65.7,68.7,53.4,48.1,37.5,35.7
2011,Missouri St.,113.6,103.1,51.8,49.9,16.6,17.7,33.2,26.9,38.2,34.0,73.0,69.3,49.4,48.9,37.6,34.8
