Year,Team,OFF EFF,DEF EFF,OFF FGP,DEF FGP,OFF TOP,DEF TOP,OFF RP,DEF RP,OFF FTR,DEF FTR,OFF FTP,DEF FTP,OFF 2PP,DEF 2PP,OFF 3PP,DEF 3PP
2008,North Carolina ,122.9,91.9,53,48.2,18.8,21.1,42.5,29,38,25.7,75.7,66.8,52.1,47.8,37.2,32.6
2008,Kansas ,121.4,85.5,56.6,44.3,19.1,22.4,37.6,29.1,36.4,31,70.7,68.2,55.4,41.2,39.7,32.8
2008,Texas ,120.6,93.8,51.5,45.7,14.2,17.9,36.3,33.6,32,31,68.3,68.6,48.5,43.2,38,33.2
2008,Drake ,119.3,97.7,52.6,50.4,18,24.1,36.7,33.1,35.2,23.9,76.8,67.1,50.5,49.5,36.7,34.5
2008,Oregon ,118,101.5,55.8,50.3,18.4,16.4,32,31,36.7,34.3,69.4,69.1,53.8,50.4,39.2,33.4
2008,Memphis ,117,86.1,52.7,43.4,16.6,22.5,37.8,29.6,40.4,31.7,61.4,68,52.9,42.6,34.9,30.2
2008,Pittsburgh ,116.2,95.9,50.8,47.9,18.2,20.9,39.3,33.9,36.1,28.6,66.5,69.4,50.8,46.8,33.8,33.4
2008,UCLA ,116.2,86.8,52.2,46.5,19.1,21.8,39.2,27.2,37.3,25.6,73.6,68.5,52.4,45.4,34.4,32.9
2008,Baylor ,115.9,99.6,51.9,48.3,17.2,19.4,32,32.9,35.9,39.5,74.1,70.6,49.6,46.5,37.3,35.1
2008,Duke ,115.8,89.9,53.6,47.6,18.3,24.7,33.9,33.7,40.9,31.9,69.7,67.2,51.7,47,37.7,32.9
2008,Xavier ,115.5,93.4,54.6,47.1,19.8,19.6,35.8,30.1,42.4,31.4,74.9,67.7,52.2,45.2,39.1,33.6
2008,Arizona ,115.5,95.5,53.9,48.7,18.6,19,27.8,33.4,40.4,30.4,74.5,70.5,51.2,47.5,39.6,34.5
2008,California,115.3,102.5,52.3,51.9,19.4,17.2,34.5,31.8,36.1,33.1,77.6,68.2,51.6,51.4,35.9,35.1
2008,Florida,115.3,98.9,55.3,50,18.6,19.8,35.6,30,31.2,29.1,70.1,65.9,55.7,49.5,36.3,34
2008,Connecticut ,114.9,95,50.6,44.2,19.4,17.3,39.5,34.2,48.1,23.5,72,68,49.5,40.5,36.1,34.8
2008,Michigan St. ,114.7,92.7,52.6,46,21.1,18.9,39.5,31.6,33.5,33.1,73.7,67.1,51.6,45.6,37.1,31.1
2008,Davidson ,114.7,91.7,54.1,49.3,17.3,24.3,32.4,28.5,26.3,37.3,72.6,63.5,54.1,47,36.1,35.5
2008,Notre Dame ,114.6,95.1,52.2,46.6,18.3,17.5,36.2,30.7,34,23,73.8,64.5,47.8,44.8,40.5,33.5
2008,Tennessee ,114.6,91.6,52.4,49.1,18.2,24.7,36.2,34.6,38,39.6,65.7,67.4,51.5,50.3,35.8,31.2
2008,Kansas St. ,114.5,93.5,49.5,48.3,20.8,22.2,42.3,30.3,37.4,38.3,69.3,65.6,50.2,44.9,32,37.2
2008,IUPUI,114.3,103.7,57,50.2,18.7,22.2,33.5,34.6,36.7,33.8,78.3,69.3,54.1,49.5,41.8,34.1
2008,Butler ,114.2,94.9,54.1,48,16.9,22.9,29.8,32.2,36.7,32.6,73.7,66.5,51.3,48.2,38,31.8
2008,Marquette ,114.1,91.1,50.6,46.3,18.7,23.9,38.2,33.4,37.5,41,70.5,67.9,49,46.7,35.8,30.4
2008,Indiana ,114.1,94.9,52.3,47.3,20,19.8,36.1,29.1,41.9,31,75.9,65,52.3,45.1,34.9,34.1
2008,West Virginia ,113.8,92.7,51.4,48,16.4,22.8,34.4,31.2,36.6,39.7,68.7,65.5,50.1,45.2,36,35.8
2008,St. Joseph's ,113.8,99.3,54.6,50.6,19.3,21.5,32.5,34,39.7,33.3,72.6,68.5,52.8,47.7,38.6,37
2008,Washington St. ,113.4,89.8,53.7,46.7,17,21.9,27.8,29.8,38.5,28.4,72.8,72,53,45.3,36.8,33.1
2008,Georgia Tech,113.2,99,52.9,51.2,21.1,22.4,34.1,35.5,38.3,48.7,70,70.2,51.5,51.5,37.2,33.8
2008,Clemson ,113.2,90.4,51.9,48.1,20.3,24.6,39.8,36.4,30.6,33.8,62.2,71.7,49.7,49,37.5,30.4
2008,Rhode Island,113.2,102.5,53.1,49.5,19.4,21.1,37.2,34.5,39.2,33.6,69.3,71.1,51.2,47.5,38,35.3
2008,Mississippi,113,98.8,52,49.5,18.6,19.6,39.1,31.1,30,34.3,65.1,66.9,50.4,48.2,36.7,34.4
2008,Georgetown ,113,87.9,56.7,41.9,21.3,19.8,33.1,32.7,34,36,65.4,67.8,56.2,40.5,38.4,29.6
2008,Stanford ,112.8,89.8,49.8,44.3,18.8,17.7,39.1,29.2,39.6,32.8,69.4,66.4,48,42.1,36.6,33.3
2008,Houston,112.7,100.8,49.8,49.1,15.4,22.7,31.7,33.4,33.5,38.8,77,66.7,45.7,48.2,36.1,33.8
2008,Gonzaga ,112.6,93.3,54.5,45.7,20.7,21.6,34.6,29.7,39.7,32.1,71.2,64.8,53.7,43.8,37.5,32.7
2008,Wisconsin ,112.6,85.4,50.6,43.4,19.5,21.9,36.2,28.6,39.9,25.4,70.5,68.3,49.3,41.7,35.6,31.3
2008,Utah St.,112.3,107.2,57.4,50,21.4,17.6,34.1,32.1,36.9,28.9,78.7,70,56.3,47.5,40.1,36.6
2008,Texas A&M ,112.1,91.1,52,44.9,19.2,17.4,35,28.1,41.8,26.7,63.4,66.1,51.2,42.2,35.7,33.8
2008,Louisville ,112.1,86.5,53.1,44.1,20.2,21.7,33.4,30.9,36.5,33.5,64.7,68.3,53.5,43.1,35,30.5
2008,Syracuse,111.8,96.6,52.7,49.2,21.8,20,39,32.6,42,29.5,66.8,69.6,53.3,46.8,34.1,35.4
2008,Miami FL ,111.5,95.1,49.2,47,19,20.6,35.1,34,39.2,35.4,75.2,66.8,45.7,43.7,37.9,35.6
2008,Vanderbilt ,111.4,97.8,54.1,49.7,19.8,20.5,31,33.5,38.3,32,73.5,69.5,50.6,48.3,39.9,35
2008,Missouri,111.3,97.2,50.7,48.8,17.7,23.1,31.5,34.9,30.8,42.9,69,71,51,49.8,33.4,30.9
2008,Temple ,111.2,98.9,54.1,49.1,19.1,19.3,28.5,32.4,35.3,31.8,74,72.4,53.3,46.5,36.9,35.7
2008,Bradley,111.1,100.7,52.3,50.8,20.2,21.7,31.2,33.4,36.4,37.8,74.4,70.1,49.3,49.2,37.4,36
2008,DePaul,111,104.2,49.6,53.5,17.5,19.6,33.6,36.4,30.8,28.3,64.8,72.5,47.4,49.5,35.8,40.8
2008,Arkansas ,110.8,94.5,51.9,48.4,21.8,21.2,37.6,31.9,37.9,35.6,67.8,69.7,52.3,47.4,34.1,33.5
2008,South Alabama ,110.5,99.5,53.9,48.4,20.6,20.4,37.9,30.5,46,31,70.3,67,53.3,47.3,36.8,33.5
2008,Virginia,110.4,100.6,50.3,52,19.4,18.8,36.1,28.6,35.3,33.2,70.5,66.5,47.6,50.1,36.6,36.7
2008,UMBC ,110.2,107.7,51.9,50.8,14.5,18.9,31.8,33.6,33.5,28.4,73.3,73.1,49,49,38.4,36.1
2008,Purdue ,110.1,90.5,49.1,49.1,19.1,26,33.1,30.9,37.1,42.6,71.2,67,45.3,47.6,37.3,34.8
2008,Oakland,109.9,107.9,49.2,53.9,19.4,21,41.3,35.2,41.4,34.8,70.9,74.6,47.2,52.3,36,38.1
2008,Western Kentucky ,109.6,95.6,53.6,47.2,20.2,24.9,36.7,33.4,36,48.8,70.8,70.3,51.1,46.2,39,32.9
2008,New Mexico,109.6,91.6,54.1,47.8,18.1,24,31.1,27.4,40.2,41.3,65.9,68.3,49.2,45.7,42,33.9
2008,Alabama,109.5,99.1,51.4,50.2,18.5,20.2,36.5,31.9,33.5,33.9,62,71.9,50,48.3,36.3,35.5
2008,USC ,109.4,90.8,53.3,44.8,21.9,20,31.1,35,38.7,27.9,68.5,68.5,51.5,44.1,38.7,30.7
2008,Dayton,109.2,97.9,52.7,50.6,20.6,20.2,35.3,27.9,42.3,33.1,64.1,70.6,51.1,48.6,37.5,35.5
2008,Massachusetts,109.2,96.1,51.4,47.6,17.7,19.9,31.7,33.9,38.6,37.9,67.2,67.8,49.9,46.1,35.6,34.1
2008,Utah,109.1,98.4,53.8,47.8,19.6,18.1,26.9,25,31.1,40.4,75.6,73.3,51.4,44.8,38.8,35.7
2008,Cal St. Fullerton ,109.1,101.8,54.2,52.7,18.3,23.6,32.6,30.2,32.3,32.9,70.2,67.4,52.3,51.2,38.4,37
2008,Providence,108.9,99.2,51.5,50.3,21.1,22,36.6,36.4,32.3,37.1,68,74.2,48.9,49.4,37.6,34.7
2008,UNLV ,108.8,94,48.6,46.3,16.7,22.3,29.1,32.3,33.3,32.4,74.8,66.7,47.8,47,33.2,30.1
2008,UAB,108.8,96.8,52.2,46.8,20.4,19.8,32.2,30.6,39,37.1,70.7,65,49.9,45.1,37.5,33.6
2008,Washington,108.8,96.4,50,51.2,19.8,21.5,40.6,29.9,34.2,39.7,58.6,69.5,49,48.8,35.1,37.5
2008,Seton Hall,108.7,102.6,48,51.1,16.9,21.4,33.7,38.4,36.7,39.3,71.6,67.6,46.6,48.8,33.8,37
2008,Ohio St.,108.6,91,52.5,45.4,20.4,21.4,33.3,35.6,28.2,22.1,68.7,68,53.6,43.6,33.7,32
2008,Akron,108.6,98.5,51.9,49.8,19.5,24.8,33.9,34.4,39.3,36.7,70.3,69.1,47.9,50.2,38.6,32.6
2008,Auburn,108.6,104.7,52.5,55.8,20,22.2,31.9,32.5,31.5,28.1,66.9,67.8,53.5,55.4,34,37.5
2008,Arizona St.,108.3,95.1,53.7,48.4,20.2,21.6,28.5,32.2,40.1,32.1,73.9,73,54.1,45.3,35.5,35.1
2008,Oklahoma St.,108,95.6,49.7,50.1,21.5,24.4,32.6,33.9,38.4,44.1,71.7,72,48.8,48.2,34.1,36.2
2008,George Mason ,108,98.7,52.3,47.5,18.7,18.4,32,27.9,39.8,27,70.3,71.7,52.4,46.4,34.7,33.2
2008,South Carolina,107.9,100,50.4,51.1,15.5,21.9,30.7,37.3,22.6,27.5,68,70.4,48.1,50.9,36.4,34.4
2008,Villanova ,107.9,93.5,49.1,51.1,20.5,23.6,36.2,31,38.9,46.4,72.7,68.4,47.8,48.6,34.4,36.5
2008,Mississippi St. ,107.8,91.1,52.2,42.5,21.4,17.8,34.7,32.7,39,28,64.6,68.4,53.3,39.8,33.4,31.7
2008,UCF,107.7,99.9,51.7,48.2,20.3,21.7,34.1,33.4,37.2,42.2,71.1,69.4,50.2,46.8,36.3,33.6
2008,Boston College,107.7,99.9,50.9,49.6,22.5,17.9,35.4,35.7,39.7,28.8,69,66.5,49.6,48.5,36,34.6
2008,Oklahoma ,107.4,93.3,50.1,47,19.7,20.2,33.4,30.2,38.7,30.3,68.1,72.7,49,46,34.8,32.6
2008,Minnesota,107.4,95.1,50.2,48.5,21.6,25.1,36,33.9,35,39.5,67.6,71.9,47.5,47.4,36.7,33.6
2008,St. Mary's ,107.4,93,52.4,44.8,19.5,21.6,35.5,31.4,39,30.7,66.3,69.1,51.6,44.1,35.8,31.3
2008,Cornell ,107.4,103.8,55.4,49.1,19.9,20.9,28.6,31.3,33.8,34.6,76.1,69.8,52.5,46.3,40.4,36.5
2008,Missouri St.,107.3,97.6,50.7,49.6,22.3,22.6,35.2,32.5,34.8,35.2,71.6,71.5,48.6,46.6,36.6,36.5
2008,Florida St.,107.3,93.9,50.4,49.3,21.9,22.6,33.5,33.8,35.9,34.6,77.3,69.3,49.2,48,35.2,34.6
2008,Duquesne,107.1,97.5,51.7,48.1,21.4,24.3,37.1,37.1,39.6,35.9,73.7,69.7,54.2,45.4,31.6,36
2008,Nebraska,107.1,91.1,51.2,47.3,20.6,23.9,32.1,30,38.6,32,66.6,70.3,51.1,42.6,34.2,36.4
2008,Maryland,107,94.2,50.9,44.4,23.4,19.7,35,34.9,37.5,30.9,70.3,74,50.9,42.6,33.8,32.4
2008,Nevada,106.9,100.7,53,47.5,20,17.4,32.7,32.4,36.9,32.1,71.5,67.7,52.4,44.9,36.3,36
2008,Siena ,106.8,99.2,50.5,51.8,15.9,24.6,31.4,36.5,36.3,25.4,68.9,64.4,48.1,49.5,37.4,37.6
2008,New Mexico St.,106.8,98.5,52.4,49.6,21.9,21.6,41.2,29.4,39,33.2,63.9,69.1,52.5,46.7,34.8,36.3
2008,Portland St. ,106.7,101.9,54.4,50.6,21.5,22.1,34.1,31.7,37.8,34.9,67.2,71.8,50.8,49.7,39.7,34.8
2008,Southern Miss,106.7,99.6,47.5,49.9,19.4,19.2,36.1,28.1,48.6,43.2,70.7,68.1,47.3,49.2,32.1,34.3
2008,Kentucky ,106.6,94.9,52.7,45,23.7,19.7,32.9,33.8,41.1,42.4,73.3,70.7,51.5,43.1,36.9,32.6
2008,North Carolina St.,106.6,99.6,51.1,47.3,23.3,16.5,30.3,35.4,47.4,26.6,71.9,70.9,50.8,44.6,34.6,36.3
2008,Lamar,106.6,106.8,52.5,53.9,20.3,25.7,32.6,34.6,36.6,38.7,66.1,71.3,50.1,52.8,37.8,37.7
2008,Ohio,106.5,99.7,51.9,51.5,22.3,22.7,35,30.8,39.6,34.4,71.4,67.5,51.4,50.1,35.2,35.5
2008,La Salle,106.5,104.3,51.1,51.9,22.5,19.4,36,31.1,37.3,33.5,69.2,71.4,46.7,51.8,39.6,34.7
2008,Penn St.,106.5,101.8,48.3,51.9,19.7,20.7,36.3,32.6,32.1,29.1,62.2,70.2,46.7,50.8,34,35.7
2008,UNC Greensboro,106.4,100.4,52.6,50.1,21.4,22.3,35.1,35.2,40.1,24.3,67.4,67.6,51.9,48,35.8,36.1
2008,Creighton,106.4,95.6,51.6,48,21.2,22.8,32.5,31.7,33.3,36.7,71.6,72.4,49.8,45.2,36.2,35.6
2008,Miami OH,106.2,97.1,51.5,48.6,20,20.3,31.1,33.2,30.9,30.9,70.1,66.3,50.6,48,35.6,33.2
2008,Wake Forest,106.2,94.4,48.3,49.1,20.2,24.7,33.9,33.8,34,36.8,65.7,67.3,49.2,47.1,31.1,35.1
2008,Rider,106.2,102.5,54.8,49.1,20.6,20.3,34.5,30.7,38.2,30.6,64.2,68.9,52.8,47.5,39.6,34.4
2008,Brown,106.1,103.9,55.8,51.2,20.5,20.2,24.3,30.3,47.1,25.9,74.6,70.7,52.1,49.9,40.8,35.5
2008,Illinois,106,91.3,48.8,45.8,21.5,20.3,37,29.9,36.5,37.2,60.8,72,49.2,43.3,31.9,33.5
2008,UNC Wilmington,106,105.7,53.7,49.7,22.4,18,33.9,31.9,32.5,31.9,75.6,68.2,53.3,48.7,36.2,34.4
2008,Kent St. ,105.9,93.7,52.5,46.6,22.5,25,35.7,35.6,41.1,37.8,70.7,67.8,50.9,46,37.3,31.7
2008,BYU ,105.9,90,53.2,43.2,20.1,19.7,30.6,26.4,37.3,30.5,65.3,70.5,51.6,42.8,37.3,29.5
2008,Valparaiso,105.9,101.5,52.9,49.6,19.7,18.6,27.3,29.7,34.6,38.1,67.5,68.3,49.8,48,38,35
2008,Boise St. ,105.8,102.4,57.1,50.3,21.2,19.5,30.4,29.4,39.7,33.6,66.2,70.5,56.2,49.1,39.2,35.2
2008,Belmont ,105.7,103.9,53.2,51.9,20.4,22.4,33.5,30.5,33.8,35.6,69.8,70.3,52.1,51.9,36.3,34.6
2008,Tulsa,105.6,94.9,50.4,46,22.8,18.1,36.4,29.5,38,31.5,72.7,66.4,49,44.6,35.3,32.8
2008,South Florida,105.6,99.3,48.8,48.7,20.2,18.4,35.9,33.8,43,33.9,63.8,65.3,48.5,46.8,33,35.2
2008,Old Dominion,105.5,100,48.3,47.8,20.1,21.6,38.1,34.3,27.2,30.3,66.6,70.5,47.3,45.6,33.5,34.6
2008,Virginia Tech,105.4,88.5,48.8,46.5,20.9,21.5,34.6,29,39,33.7,68.1,68,48,44.1,33.7,34.1
2008,Texas Tech,105.3,96.3,50.2,51,20.5,22.6,26.3,33,47.6,34.8,70.4,69,48.4,48.8,36.7,36.8
2008,Western Michigan,105.3,97.6,49.7,46.7,22,19.4,36.1,29.4,47.6,41.5,75.3,70.9,47,45.3,36.1,32.9
2008,American ,105.3,104.5,52.2,47.7,22.5,19.7,32.9,30,41.3,38.9,73.9,73.7,46.2,45,40.8,35
2008,Pacific,105.2,103.6,56.1,50.3,22.6,20.1,32.2,27.8,44,36.8,67.8,70.9,53.8,48.5,40,35.5
2008,Green Bay,105.1,103.2,51.1,50.2,20.3,19.6,31.5,34.4,35.5,36.6,73.8,68,49.6,48.4,36.7,35.5
2008,Marshall,105.1,101.6,47.1,50.9,20,21.8,37.1,33,43.5,38.9,69,67.5,47.2,49.6,31.3,35.6
2008,Loyola MD,105,105.9,50.3,48.2,21.8,18.7,35.9,34.4,39.1,43.6,77,68.3,47.1,47.1,36.8,33.7
2008,North Dakota St.,104.9,101.4,51.9,49.4,20,18.6,33.6,28,40.1,36.7,75,73.7,48.9,48,39.4,35.8
2008,Niagara,104.9,103.2,47,48.7,18.8,22,36.9,36.6,44.7,35.7,72.7,68.6,46.5,48.7,31.8,32.4
2008,Stephen F. Austin,104.9,99,51.1,45.1,19.1,21.7,32.7,31.1,40.6,34.3,67.9,68.3,48.1,44.1,38,31.8
2008,Montana,104.8,108.8,54.4,51.2,19.4,18,28.2,31,33.6,36.4,67.8,71.6,51.9,50,38.8,36.1
2008,Illinois St.,104.6,92.4,52.2,46.3,20,22.2,31.2,31.2,33.9,35.5,63.3,69.2,50.1,45.2,37.1,32.2
2008,UNC Asheville,104.5,106.6,53.8,49.8,19.5,16.3,30.6,31.2,37.8,22.5,67.9,69,53.7,46,35.9,37.5
2008,Northern Iowa,104.5,99.7,50,47,19.8,16.8,25.3,28.2,43.6,30.3,72.8,72.7,49.6,42.4,33.9,36.4
2008,North Texas,104.5,100.8,51.9,48.9,21.7,19.8,35.3,29.7,40.6,39,72.5,71.4,48.8,47.6,39.5,34.2
2008,UTEP,104.2,97.6,48.8,49.4,17.9,23.3,30.7,30.5,45.7,49,65.7,68.8,48.5,47.3,33,35.4
2008,Southern Illinois,104.1,91.9,48.4,49.2,22.2,24.6,33.4,28.7,40.7,48.8,71.5,70.3,47,47.3,34,34.7
2008,Georgia Southern,104,101.4,49.9,50.3,19.9,22.2,37.1,33,34.3,41.2,66.3,69.6,49.1,48.7,34.5,35.5
2008,Lafayette,104,107.7,53.2,50.2,23.6,24.2,34.2,38.2,41.9,41.2,69.4,73.7,47.9,48.1,39.7,36.4
2008,LSU,103.9,96.8,48.3,47.8,20.3,19.5,32,35.7,29.3,28,74.8,66.9,48.4,46.1,32.2,34.3
2008,Indiana St.,103.9,100.4,47.6,51.2,19.9,21.7,30.9,33.4,36.6,41.2,74.8,68.6,46.9,50.5,32.4,35.1
2008,College of Charleston,103.8,104.4,52.7,49.8,20.3,17.7,31,32.8,27.3,26.6,69.5,71.3,52.1,48.6,35.6,34.9
2008,St. Bonaventure,103.8,108.4,48.5,52.9,21.4,19.5,31,33.4,34.9,32.8,75.2,70,46.8,51.8,34.2,36.2
