Year,Round,Seed1,Team1,Score1,Seed2,Team2,Score2,ScoreDiff
2022,6,1,Kansas,72,8,North Carolina,69,3
2022,5,8,North Carolina,81,2,Duke,77,4
2022,5,1,Kansas,81,2,Villanova,65,16
2022,4,1,Kansas,76,10,Miami (FL),50,26
2022,4,2,Villanova,50,5,Houston,44,6
2022,4,8,North Carolina,69,15,St. Peter's,49,20
2022,4,2,Duke,78,4,Arkansas,69,9
2022,3,4,Arkansas,74,1,Gonzaga,68,6
2022,3,2,Duke,78,3,Texas Tech,73,5
2022,3,8,North Carolina,73,4,UCLA,66,7
2022,3,15,St. Peter's,67,3,Purdue,64,3
2022,3,5,Houston,72,1,Arizona,60,12
2022,3,2,Villanova,63,11,Michigan,55,8
2022,3,1,Kansas,66,4,Providence,61,5
2022,3,10,Miami (FL),70,11,Iowa St.,56,14
2022,2,1,Kansas,79,9,Creighton,72,7
2022,2,4,Providence,79,12,Richmond,51,28
2022,2,11,Iowa St.,54,3,Wisconsin,49,5
2022,2,10,Miami (FL),79,2,Auburn,61,18
2022,2,1,Arizona,85,9,TCU,80,5
2022,2,5,Houston,68,4,Illinois,53,15
2022,2,11,Michigan,76,3,Tennessee,68,8
2022,2,2,Villanova,71,7,Ohio St.,61,10
2022,2,8,North Carolina,93,1,Baylor,86,7
2022,2,4,UCLA,72,5,St. Mary's (CA),56,16
2022,2,3,Purdue,81,6,Texas,71,10
2022,2,15,St. Peter's,70,7,Murray St.,60,10
2022,2,1,Gonzaga,82,9,Memphis,78,4
2022,2,4,Arkansas,53,12,New Mexico St.,48,5
2022,2,3,Texas Tech,59,11,Notre Dame,53,6
2022,2,2,Duke,85,7,Michigan St.,76,9
2022,1,1,Gonzaga,93,16,Georgia St.,72,21
2022,1,9,Memphis,64,8,Boise St.,53,11
2022,1,12,New Mexico St.,70,5,Connecticut,63,7
2022,1,4,Arkansas,75,13,Vermont,71,4
2022,1,11,Notre Dame,78,6,Alabama,64,14
2022,1,3,Texas Tech,97,14,Montana St.,62,35
2022,1,7,Michigan St.,74,10,Davidson,73,1
2022,1,2,Duke,78,15,Cal State Fullerton,61,17
2022,1,1,Baylor,85,16,Norfolk St.,49,36
2022,1,8,North Carolina,95,9,Marquette,63,32
2022,1,5,St. Mary's (CA),82,12,Indiana,53,29
2022,1,4,UCLA,57,13,Akron,53,4
2022,1,6,Texas,81,11,Virginia Tech,73,8
2022,1,3,Purdue,78,14,Yale,56,22
2022,1,7,Murray St.,92,10,San Francisco,87,5
2022,1,15,St. Peter's,85,2,Kentucky,79,6
2022,1,1,Arizona,87,16,Wright St.,70,17
2022,1,9,TCU,69,8,Seton Hall,42,27
2022,1,5,Houston,82,12,UAB,68,14
2022,1,4,Illinois,54,13,Chattanooga,53,1
2022,1,11,Michigan,75,6,Colorado St.,63,12
2022,1,3,Tennessee,88,14,Longwood,56,32
2022,1,7,Ohio St.,54,10,Loyola Chicago,41,13
2022,1,2,Villanova,80,15,Delaware,60,20
2022,1,1,Kansas,83,16,Texas Southern,56,27
2022,1,9,Creighton,72,8,San Diego St.,69,3
2022,1,12,Richmond,67,5,Iowa,63,4
2022,1,4,Providence,66,13,South Dakota St.,57,9
2022,1,11,Iowa St.,59,6,LSU,54,5
2022,1,3,Wisconsin,67,14,Colgate,60,7
2022,1,10,Miami (FL),68,7,USC,66,2
2022,1,2,Auburn,80,15,Jacksonville St.,61,19
2022,0,16,Texas Southern,76,16,Texas A&M-CC,67,9
2022,0,12,Indiana,66,12,Wyoming,58,8
2022,0,16,Wright St.,93,16,Bryant,82,11
2022,0,11,Notre Dame,89,11,Rutgers,87,2
2019,6,1,Virginia,85,3,Texas Tech,77,8
2019,5,1,Virginia,63,4,Auburn,62,1
2019,5,3,Texas Tech,61,2,Michigan St.,51,10
2019,4,3,Texas Tech,75,1,Gonzaga,69,6
2019,4,1,Virginia,80,3,Purdue,75,5
2019,4,2,Michigan St.,68,1,Duke,67,1
2019,4,5,Auburn,77,2,Kentucky,71,6
2019,3,3,Purdue,99,2,Tennessee,94,5
2019,3,1,Gonzaga,72,4,Florida St.,58,14
2019,3,3,Texas Tech,63,2,Michigan,44,19
2019,3,2,Michigan St.,80,3,LSU,63,17
2019,3,5,Auburn,97,1,North Carolina,80,17
2019,3,1,Duke,75,4,Virginia Tech,73,2
2019,3,1,Virginia,53,12,Oregon,49,4
2019,3,2,Kentucky,62,3,Houston,58,4
2019,2,3,LSU,69,6,Maryland,67,2
2019,2,2,Michigan St.,70,10,Minnesota,50,20
2019,2,4,Florida St.,90,12,Murray St.,62,28
2019,2,5,Auburn,89,4,Kansas,75,14
2019,2,2,Michigan,64,10,Florida,49,15
2019,2,2,Kentucky,62,7,Wofford,56,6
2019,2,3,Purdue,87,6,Villanova,61,26
2019,2,1,Gonzaga,83,9,Baylor,71,12
2019,2,2,Tennessee,83,10,Iowa,77,6
2019,2,1,North Carolina,81,9,Washington,59,22
2019,2,1,Duke,77,9,Central Florida,76,1
2019,2,3,Texas Tech,78,6,Buffalo,58,20
2019,2,4,Virginia Tech,67,12,Liberty,58,9
2019,2,1,Virginia,63,9,Oklahoma,51,12
2019,2,3,Houston,74,11,Ohio St.,59,15
2019,2,13,UC Irvine,73,12,Oregon,54,19
2019,1,9,Central Florida,73,8,Virginia Commonwealth,58,15
2019,1,12,Liberty,80,5,Mississippi St.,76,4
2019,1,4,Virginia Tech,66,13,St. Louis,52,14
2019,1,3,LSU,79,14,Yale,74,5
2019,1,1,Virginia,71,16,Gardner-Webb,56,15
2019,1,10,Minnesota,86,7,Louisville,76,10
2019,1,2,Michigan St.,76,15,Bradley,65,11
2019,1,9,Oklahoma,95,8,Mississippi,72,23
2019,1,1,North Carolina,88,16,Iona,73,15
2019,1,9,Washington,78,8,Utah St.,61,17
2019,1,12,Oregon,72,5,Wisconsin,54,18
2019,1,5,Auburn,78,12,New Mexico St.,77,1
2019,1,4,Kansas,87,13,Northeastern,53,34
2019,1,11,Ohio St.,62,6,Iowa St.,59,3
2019,1,13,UC Irvine,70,4,Kansas St.,64,6
2019,1,3,Houston,84,14,Georgia St.,55,29
2019,1,7,Wofford,84,10,Seton Hall,68,16
2019,1,2,Kentucky,79,15,Abilene Christian,44,35
2019,1,6,Villanova,61,11,St. Mary's (Cal.),57,4
2019,1,3,Purdue,61,14,Old Dominion,48,13
2019,1,10,Iowa,79,7,Cincinnati,72,7
2019,1,2,Tennessee,77,15,Colgate,70,7
2019,1,2,Michigan,74,15,Montana,55,19
2019,1,10,Florida,70,7,Nevada,61,9
2019,1,9,Baylor,78,8,Syracuse,69,9
2019,1,3,Texas Tech,72,14,Northern Kentucky,57,15
2019,1,12,Murray St.,83,5,Marquette,64,19
2019,1,4,Florida St.,76,13,Vermont,69,7
2019,1,1,Gonzaga,87,16,Fairleigh Dickinson,49,38
2019,1,6,Maryland,79,11,Belmont,77,2
2019,1,1,Duke,85,16,North Dakota St.,62,23
2019,1,6,Buffalo,91,11,Arizona St.,74,17
2019,0,16,Fairleigh Dickinson,82,16,Prairie View,76,6
2019,0,11,Belmont,81,11,Temple,70,11
2019,0,16,North Dakota St.,78,16,North Carolina Central,74,4
2019,0,11,Arizona St.,74,11,St. John's,65,9
2018,6,1,Villanova,79,3,Michigan,62,17
2018,5,3,Michigan,69,11,Loyola (Ill.),57,12
2018,5,1,Villanova,95,1,Kansas,79,16
2018,4,1,Villanova,71,3,Texas Tech,59,12
