Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Oklahoma St. 10,B12,"127.4
1","103.4
148","54.0
39","53.2
297","18.2
149","20.3
58","38.3
4","31.9
287","37.4
118","45.4
335","78.8
5","72.5
282","50.4
125","52.4
290","40.3
6","36.4
257"
Michigan 7,B10,"124.0
2","98.6
63","57.0
6","51.9
224","14.2
4","19.5
108","24.7
304","30.0
215","30.1
300","27.2
25","77.9
9","68.3
58","56.3
8","50.0
199","38.5
29","37.8
308"
UCLA 3,P12,"123.5
3","100.5
90","59.8
1","48.7
88","15.1
10","15.8
318","29.1
183","28.6
155","26.8
342","25.4
9","73.8
67","67.9
41","59.1
3","45.3
29","40.6
4","36.5
262"
Wake Forest 11,ACC,"123.0
4","103.7
158","54.1
36","52.7
269","16.4
44","16.2
305","30.7
120","27.7
105","40.7
44","38.0
228","77.8
10","72.4
275","52.1
62","52.1
272","38.5
32","35.8
216"
Villanova 1,BE,"122.9
5","93.5
18","57.5
4","48.1
68","17.1
73","20.1
71","30.2
137","27.8
110","35.0
177","22.1
1","79.0
3","70.3
165","59.2
2","49.1
159","36.9
84","31.1
17"
Duke 2,ACC,"122.8
6","96.5
43","54.8
29","47.4
39","16.3
42","17.3
251","31.7
83","29.8
206","39.3
72","31.2
75","76.2
24","71.0
210","53.5
32","48.9
149","37.9
53","29.3
4"
Marquette 10,BE,"122.5
7","102.9
129","57.5
5","52.2
239","17.3
85","18.3
189","27.1
247","29.2
174","31.0
283","35.7
191","78.1
7","69.7
128","52.7
48","50.6
224","42.9
1","36.8
271"
Kansas 1,B12,"122.2
8","95.6
32","56.1
12","48.1
69","17.6
100","18.6
166","34.1
36","29.7
200","36.0
160","30.0
55","67.8
265","71.5
240","53.6
30","45.3
30","40.4
5","35.6
198"
North Carolina 1,ACC,"121.6
9","92.4
9","51.7
113","48.1
71","16.2
36","18.6
165","41.3
1","25.0
25","34.3
207","31.6
83","70.2
172","72.7
295","51.0
100","46.3
59","35.5
148","33.9
107"
SMU 6,Amer,"120.9
10","95.1
29","54.6
31","46.0
19","16.9
60","18.3
188","37.2
10","26.4
54","36.0
159","24.6
7","69.6
198","69.2
106","51.0
98","44.1
18","40.6
3","32.1
35"
Iowa St. 5,B12,"120.6
11","97.2
49","55.0
26","49.0
101","14.1
3","19.5
107","25.7
281","31.6
277","27.6
336","25.6
10","70.0
182","70.4
172","51.8
73","47.5
94","40.0
12","34.6
142"
Notre Dame 5,ACC,"120.0
12","97.4
51","53.6
49","49.1
110","14.0
2","18.7
159","27.3
238","30.8
246","28.6
327","26.7
18","80.0
1","73.7
325","50.9
106","48.2
125","38.4
35","33.8
100"
